artist,genre,pronoun,artistUrl,songUrl,alias1,alias2
Toxe,left field,she,https://soundcloud.com/to-xe,https://soundcloud.com/pan_hq/a1-toxe-maybe-tomorrow-pan-105?in=pan_hq/sets/toxe-crystallmess-split-pan-105,,
Trypheme,left field,she,https://soundcloud.com/trypheme,https://www.youtube.com/watch?v=yQyBkr7nGYo,,
TSHA,house,she,https://soundcloud.com/tshamusic,https://www.youtube.com/watch?v=BS4HpkDgQZw,,
TygaPaw,left field,she,https://soundcloud.com/tygapaw,https://soundcloud.com/fakeaccent/tygapaw-bag-juice-1,,
u.r.trax,techno,she,https://soundcloud.com/urtrax,https://soundcloud.com/matiere-production-paris/u-r-trax-walk-of-pain?in=urtrax/sets/ur-tracks,,
Uchi,expirimental ,they,https://soundcloud.com/uchi001010,https://soundcloud.com/uchi001010/aeon-sky-plangent-records,,
Ulla/Ulla Straus,ambient,she,https://soundcloud.com/ullastraus,https://soundcloud.com/xpltd/ulla-leaves-and-wish,,
umfang,techno,she,https://soundcloud.com/umfang,https://soundcloud.com/umfang/where-is-she?in=umfang/sets/symbolic-use-of-light,,
Uniiqu3,jersey club,she,https://soundcloud.com/uniiqu3,https://soundcloud.com/uniiqu3/uniiqu3-do-what-i-want,,
upsammy,left field,she,https://soundcloud.com/upsammy,https://www.youtube.com/watch?v=QvMtvuMzHUo,,
Valesuchi,left field,she,https://soundcloud.com/valesuchi,https://soundcloud.com/mamba-negra-9/valesuchi-tragicomic-impermanence,,
Valya Kan,techno ,she,https://soundcloud.com/valyakan,https://soundcloud.com/monument-podcast/mnmt-premire-valya-khan-time-capsule,,
Vanessa Worm,house,she,https://soundcloud.com/vanessaworm,https://soundcloud.com/cin-cin-303122974/vanessa-worm-444-000-cincin017?in=vanessaworm/sets/cin-cin-vanessa-worm-and-sau,,
vani-t,techno,she,https://soundcloud.com/vani_t,https://soundcloud.com/radiantlove/vani-t-acid-bottom,,
Venetta,techno,she,https://soundcloud.com/djvenetta,https://soundcloud.com/djvenetta/dewdrop,,
Vicky Zissou,techno,she,https://soundcloud.com/vicky-zissou,https://soundcloud.com/vicky-zissou/norcd01-matilda-polaris?in=vicky-zissou/sets/t-r-a-c-k-s,,
Victoria Kim,house,group,https://soundcloud.com/truants/truancy-volume-103-victoria-kim,https://soundcloud.com/factmag/victoria-kim-01-kiko-kicks,,
Violet,house,she,https://soundcloud.com/violet,https://youtu.be/YAmmtYa0pGE,,
Virginia,house,she,https://soundcloud.com/virginia-dj,https://www.youtube.com/watch?v=WOLpVeEB61I,,
Vitesse X,left field,she,https://soundcloud.com/vitesse_x,https://soundcloud.com/vitesse_x/potential-energy-3,,
Vonda7,house,she,https://soundcloud.com/vonda7,https://soundcloud.com/wostreettracks/vonda7-a-satisfying-choice-1,,
Vtss,techno,she,https://soundcloud.com/vitiosus,https://www.youtube.com/watch?v=18c5bO1adSg,,
Wallis,techno,she,https://soundcloud.com/wallis-music,https://soundcloud.com/jellrecords/wallis-apt-1245-free-dl?in=wallis-music/sets/latest-releases,,
willow,house,she,https://soundcloud.com/willowmcr,https://soundcloud.com/willowmcr/b1-1?in=willowmcr/sets/workshop-23,,
Wilted Woman,left field,she,https://soundcloud.com/eelburn,https://www.youtube.com/watch?v=HIuPxZZWv4Y,,
Wizard Apprentice ,expirimental ,she,https://soundcloud.com/wizardapprentice,https://www.youtube.com/watch?v=HMs7JRJFDOU,,
Xosar,techno,she,https://soundcloud.com/xosar,https://www.youtube.com/watch?v=vySRs0eQwv4,,
